Name,Email,Created at,Total,Lineitem sku,Lineitem quantity,Lineitem price,Lineitem line_price
#100000,lisavance@hill.com,2022-11-14 07:29:00,231.94,HOM-001,2,44.88,89.76
#100000,lisavance@hill.com,2022-11-14 07:29:00,231.94,CLO-025,3,43.99,131.96
#100000,lisavance@hill.com,2022-11-14 07:29:00,231.94,BOO-022,1,10.23,10.23
#100001,lisavance@hill.com,2022-11-21 10:13:00,50.06,BOO-009,2,25.03,50.06
#100002,lisavance@hill.com,2022-11-02 05:08:00,27.02,BEA-026,2,13.51,27.02
#100002,wharrison@hotmail.com,2023-06-04 19:03:00,250.80,SPO-021,3,21.26,63.79
#100002,wharrison@hotmail.com,2023-06-04 19:03:00,250.80,CLO-013,2,42.27,84.53
#100002,wharrison@hotmail.com,2023-06-04 19:03:00,250.80,CLO-023,2,51.24,102.47
#100004,wharrison@hotmail.com,2023-06-10 11:10:00,27.12,ELE-027,1,5.00,5.00
#100004,wharrison@hotmail.com,2023-06-10 11:10:00,27.12,BOO-018,1,22.12,22.12
#100005,wharrison@hotmail.com,2023-06-17 10:13:00,158.48,SPO-015,2,61.96,123.93
#100005,wharrison@hotmail.com,2023-06-17 10:13:00,158.48,BOO-012,1,34.56,34.56
#100006,bwilliams@robertson.info,2023-04-30 09:56:00,116.59,SPO-020,2,58.29,116.59
#100006,bwilliams@robertson.info,2023-04-20 14:12:00,153.58,BEA-020,2,50.57,101.13
#100006,bwilliams@robertson.info,2023-04-20 14:12:00,153.58,CLO-009,2,26.23,52.45
#100007,bwilliams@robertson.info,2023-04-20 22:05:00,211.90,BEA-030,1,52.95,52.95
#100007,bwilliams@robertson.info,2023-04-20 22:05:00,211.90,HOM-029,2,51.50,102.99
#100007,bwilliams@robertson.info,2023-04-20 22:05:00,211.90,ELE-025,1,55.96,55.96
#100009,bwilliams@robertson.info,2023-05-26 13:53:00,138.08,BEA-010,1,51.98,51.98
#100009,bwilliams@robertson.info,2023-05-26 13:53:00,138.08,BOO-027,3,28.70,86.10
#100010,bwilliams@robertson.info,2023-06-06 05:08:00,15.00,CLO-022,3,5.00,15.00
#100010,bwilliams@robertson.info,2023-06-03 10:29:00,170.07,BEA-002,2,34.99,69.98
#100010,bwilliams@robertson.info,2023-06-03 10:29:00,170.07,SPO-027,2,18.84,37.68
#100010,bwilliams@robertson.info,2023-06-03 10:29:00,170.07,BOO-016,1,62.40,62.40
#100012,justinnewman@gmail.com,2023-05-11 15:22:00,61.04,BOO-006,1,40.24,40.24
#100012,justinnewman@gmail.com,2023-05-11 15:22:00,61.04,CLO-019,1,20.79,20.79
#100013,justinnewman@gmail.com,2023-05-14 07:33:00,128.76,ELE-005,1,33.17,33.17
#100013,justinnewman@gmail.com,2023-05-14 07:33:00,128.76,CLO-024,2,47.79,95.58
#100014,justinnewman@gmail.com,2023-05-10 06:43:00,141.89,BEA-018,1,42.10,42.10
#100014,justinnewman@gmail.com,2023-05-10 06:43:00,141.89,BEA-012,2,49.89,99.79
#100015,justinnewman@gmail.com,2023-06-27 12:30:00,150.25,CLO-021,2,26.42,52.84
#100015,justinnewman@gmail.com,2023-06-27 12:30:00,150.25,BOO-019,3,32.47,97.41
#100016,justinnewman@gmail.com,2023-06-03 00:19:00,15.00,CLO-002,3,5.00,15.00
#100016,justinnewman@gmail.com,2023-06-07 16:24:00,84.30,BEA-012,1,8.59,8.59
#100016,justinnewman@gmail.com,2023-06-07 16:24:00,84.30,BOO-020,2,37.85,75.71
#100017,ysanford@yahoo.com,2023-01-26 16:27:00,67.11,BEA-017,1,26.81,26.81
#100017,ysanford@yahoo.com,2023-01-26 16:27:00,67.11,CLO-007,3,8.43,25.29
#100017,ysanford@yahoo.com,2023-01-26 16:27:00,67.11,ELE-022,3,5.00,15.00
#100019,ysanford@yahoo.com,2023-01-30 10:16:00,77.75,ELE-018,2,38.88,77.75
#100019,ysanford@yahoo.com,2023-02-10 15:58:00,78.06,CLO-011,3,21.82,65.47
#100019,ysanford@yahoo.com,2023-02-10 15:58:00,78.06,BOO-008,1,12.60,12.60
#100020,ysanford@yahoo.com,2023-04-01 08:42:00,166.21,BOO-025,3,40.25,120.75
#100020,ysanford@yahoo.com,2023-04-01 08:42:00,166.21,ELE-009,2,22.73,45.46
#100021,jacobfriedman@hotmail.com,2022-06-10 16:21:00,280.42,CLO-027,1,80.89,80.89
#100021,jacobfriedman@hotmail.com,2022-06-10 16:21:00,280.42,CLO-021,3,61.94,185.81
#100021,jacobfriedman@hotmail.com,2022-06-10 16:21:00,280.42,HOM-011,1,13.72,13.72
#100023,jacobfriedman@hotmail.com,2022-06-30 06:11:00,124.89,BEA-010,1,39.54,39.54
#100023,jacobfriedman@hotmail.com,2022-06-30 06:11:00,124.89,BEA-020,1,45.81,45.81
#100023,jacobfriedman@hotmail.com,2022-06-30 06:11:00,124.89,ELE-028,1,39.54,39.54
#100024,hickslori@gmail.com,2022-05-12 14:16:00,80.99,BEA-019,2,40.50,80.99
#100025,hickslori@gmail.com,2022-06-22 03:28:00,31.63,BOO-016,1,31.63,31.63
#100025,hickslori@gmail.com,2022-08-21 09:26:00,219.47,BOO-004,2,34.89,69.79
#100025,hickslori@gmail.com,2022-08-21 09:26:00,219.47,SPO-003,3,24.72,74.16
#100025,hickslori@gmail.com,2022-08-21 09:26:00,219.47,BEA-005,2,37.76,75.52
#100027,hickslori@gmail.com,2022-09-02 14:57:00,59.80,BEA-008,1,59.80,59.80
#100027,hickslori@gmail.com,2022-11-13 21:29:00,108.75,BOO-019,2,46.57,93.15
#100027,hickslori@gmail.com,2022-11-13 21:29:00,108.75,ELE-010,3,5.20,15.60
#100028,russellrichardson@brown.com,2023-04-25 19:44:00,168.56,CLO-025,3,56.19,168.56
#100029,russellrichardson@brown.com,2023-04-17 02:30:00,128.40,SPO-003,1,42.69,42.69
#100029,russellrichardson@brown.com,2023-04-17 02:30:00,128.40,BOO-017,2,42.86,85.71
#100030,russellrichardson@brown.com,2023-04-02 03:16:00,54.45,SPO-011,1,54.45,54.45
#100030,russellrichardson@brown.com,2023-06-02 13:00:00,185.14,BEA-027,1,43.32,43.32
#100030,russellrichardson@brown.com,2023-06-02 13:00:00,185.14,ELE-027,3,18.81,56.42
#100030,russellrichardson@brown.com,2023-06-02 13:00:00,185.14,ELE-001,2,42.70,85.39
#100032,russellrichardson@brown.com,2023-06-09 09:15:00,80.23,CLO-009,2,29.27,58.55
#100032,russellrichardson@brown.com,2023-06-09 09:15:00,80.23,CLO-019,1,21.68,21.68
#100033,nfarley@caldwell.com,2023-05-12 10:53:00,234.48,HOM-029,2,45.87,91.74
#100033,nfarley@caldwell.com,2023-05-12 10:53:00,234.48,SPO-016,3,47.58,142.74
#100034,nfarley@caldwell.com,2023-05-06 00:48:00,80.72,BEA-016,2,40.36,80.72
#100034,nfarley@caldwell.com,2023-05-29 23:09:00,38.37,SPO-015,3,12.79,38.37
#100035,sbooth@white.com,2023-03-24 22:00:00,149.93,CLO-020,1,43.14,43.14
#100035,sbooth@white.com,2023-03-24 22:00:00,149.93,BOO-019,3,35.60,106.79
#100036,sbooth@white.com,2023-04-04 14:59:00,119.86,SPO-002,1,39.61,39.61
#100036,sbooth@white.com,2023-04-04 14:59:00,119.86,ELE-021,1,5.00,5.00
#100036,sbooth@white.com,2023-04-04 14:59:00,119.86,SPO-006,2,37.62,75.25
#100037,sbooth@white.com,2023-04-14 04:22:00,68.74,BOO-012,1,27.80,27.80
#100037,sbooth@white.com,2023-04-14 04:22:00,68.74,BEA-024,2,20.47,40.94
